,0,1,2,3,4,5,6,7,8,9,mean,std
2,0.101338443,0.079936783,0.082458412,0.096029342,0.09836213,0.082229145,0.097157392,0.097686169,0.092672568,0.093827966,0.092169835,0.007337494
4,0.060959859,0.058259766,0.050840553,0.066315368,0.064488352,0.050360431,0.068916361,0.053820426,0.053179501,0.060223936,0.058736455,0.006237694
8,0.028949357,0.028796546,0.028220936,0.033237787,0.028008924,0.033239276,0.028591375,0.034852686,0.03040154,0.030023573,0.0304322,0.002334189
12,0.027337697,0.024018669,0.025440858,0.025144435,0.02889994,0.025294271,0.026896815,0.026437763,0.030293718,0.025826288,0.026559045,0.001788973
16,0.020975814,0.020061667,0.023687121,0.024396528,0.021585369,0.022632798,0.021814643,0.020318531,0.026005496,0.019645208,0.022112318,0.001956853
20,0.019404198,0.018762654,0.020580907,0.018671227,0.02064525,0.020987237,0.017934039,0.018088139,0.01874381,0.019210833,0.019302829,0.001031689
24,0.019524545,0.018034808,0.017340101,0.019004138,0.017004969,0.018918479,0.018232647,0.017018196,0.016907371,0.020448801,0.018243405,0.001149737
28,0.016590364,0.018805101,0.019510372,0.018025424,0.020982404,0.01750807,0.016581323,0.017883231,0.018001868,0.015468575,0.017935673,0.001498228
32,0.018061086,0.015792343,0.016396317,0.017845972,0.01699099,0.017909786,0.016729975,0.019301434,0.018235481,0.016875719,0.01741391,0.000984398
36,0.01633428,0.01544335,0.01725362,0.01758903,0.01843426,0.01779645,0.0178155,0.01617062,0.01809812,0.01587054,0.01708058,0.00098684
40,0.01758752,0.01741908,0.0177072,0.01748723,0.01560761,0.01707981,0.0163041,0.01692143,0.01701943,0.01739832,0.01705317,0.00061844
44,0.018183851,0.016720499,0.017775274,0.016147852,0.018546792,0.019326579,0.016539186,0.017858605,0.01762857,0.01726752,0.017599473,0.000918418
48,0.017393549,0.018663023,0.020285425,0.016935451,0.017394574,0.017416485,0.017172635,0.017312486,0.01751532,0.017935844,0.017802479,0.000942175
52,0.018294295,0.018545222,0.018211301,0.018642083,0.016583907,0.020179465,0.019287036,0.018836355,0.018643165,0.017764012,0.018498684,0.000890765
56,0.018171489,0.02035387,0.01977812,0.019338629,0.020253373,0.016624354,0.020181307,0.021579574,0.018042992,0.019948546,0.019427225,0.001359936
60,0.020677465,0.020999663,0.019656165,0.018159304,0.02043621,0.019791674,0.020082475,0.019978387,0.018437984,0.019677951,0.019789728,0.000854815
