,0,1,2,3,4,mean,std
36,0.9999466866211505,0.9999264168602018,0.9999601255434835,0.999573993637355,0.9999587210155303,0.9998731887355442,0.00015008441539206754
40,0.9999042724023288,0.9999474118240831,0.999964524501152,0.9999549114088505,0.9999698174194295,0.9999481875111688,2.327702493014821e-05
44,0.9999509707803105,0.9999679315546933,0.9999686683160313,0.9999604819402658,0.9999567295147175,0.9999609564212036,6.7220637259929725e-06
48,0.9999678153979463,0.9999508704274839,0.9999266278053215,0.999941412675677,0.9999422393999092,0.9999457931412676,1.3489894609708122e-05
52,0.9999149082344502,0.9999630161358214,0.9999056629852503,0.9999420101078508,0.9999591645630097,0.9999369524052766,2.3079218485068962e-05
56,0.9999520408560317,0.9999526293615868,0.9999377795777376,0.9999400419606921,0.9998995429892809,0.9999364069490658,1.9399147739221358e-05
60,0.9999294824643199,0.9999486526989917,0.9999191997220728,0.9999448994808983,0.9999417390195225,0.999936794677161,1.0897687350399482e-05
