,0,1,2,3,4,mean,std
2,0.157991349,0.142988728,0.180963081,0.141711619,0.155086223,0.1557482,0.01414984
6,0.120495058,0.123407169,0.118522997,0.122173518,0.120137439,0.120947236,0.001690693
10,0.112573704,0.107670578,0.115413778,0.108297664,0.116301428,0.11205143,0.003547485
14,0.100794185,0.101513595,0.104520384,0.112309925,0.102290387,0.104285695,0.004202375
18,0.115314692,0.101689864,0.10160381,0.103358202,0.115289659,0.107451245,0.006440707
22,0.111828871,0.110138801,0.107084,0.117204049,0.105516455,0.110354435,0.004080183
26,0.114818667,0.137841158,0.129241562,0.121623944,0.116812753,0.124067617,0.008492677
30,0.128177041,0.116802099,0.096072346,0.117951511,0.120092658,0.115819131,0.010643587
34,0.11577741,0.13097777,0.14625198,0.12148792,0.11511798,0.12592261,0.0116462
38,0.13243408,0.14874752,0.14917852,0.12527988,0.11795503,0.13471901,0.01249981
42,0.21832137,0.21190443,1.00736837,2.02849248,2.18138826,1.12949498,0.84874032
46,0.23654728,0.19545079,0.18020794,1.09873792,0.19400603,0.38098999,0.35936806
50,0.22480718,2.18631012,1.55377597,1.71466084,0.29454286,1.19481939,0.79165148
54,2.46703528,1.40284836,0.34901155,0.79364935,1.05301595,1.2131121,0.71506262
58,2.0892542,1.909896,2.03578231,1.32747231,1.45477552,1.76343607,0.31212696
62,1.63375386,1.57613035,1.4458869,0.4953628,1.61800435,1.35382765,0.43428178
66,1.05757459,1.40045639,1.01228969,1.37358959,2.10682046,1.39014615,0.3917606
70,2.10897234,1.11049366,1.9462379,1.852475,1.613571,1.72634998,0.34717609
