,0,1,2,3,4,mean,std
2,0.998523271,0.998969561,0.998710601,0.9988747,0.998293424,0.998674311,0.000243529
6,0.999716464,0.999582748,0.999700039,0.999691843,0.99973698,0.999685615,5.37E-05
10,0.9997963,0.99981348,0.999771453,0.999797278,0.999872784,0.999810259,3.40E-05
14,0.999829914,0.999832663,0.999834784,0.999833966,0.999882845,0.999842835,2.01E-05
18,0.999895348,0.999866983,0.999889566,0.999900171,0.999887792,0.999887972,1.14E-05
22,0.999825273,0.999892901,0.999898796,0.999829172,0.999900934,0.999869415,3.46E-05
26,0.99985611,0.999834962,0.999887347,0.999897307,0.99987309,0.999869763,2.23E-05
30,0.999845129,0.999833728,0.999829261,0.999703048,0.999859496,0.999814132,5.65E-05
34,0.99969153,0.9994832,0.99965126,0.99974438,0.99973325,0.99966072,9.47E-05
38,0.99917958,0.99973519,0.99962126,0.99971709,0.99973498,0.99959762,0.00021325
42,0.99905147,0.99925095,0.999648,0.99921594,0.99955211,0.9993437,0.00022197
46,0.99935422,0.99908919,0.99729135,0.99888893,0.99959611,0.99884396,0.00081226
50,0.99879121,0.99791573,0.57537513,0.99829858,0.99958945,0.91399402,0.16931037
54,0.99921608,0.68744099,0.68324606,0.99891549,0.99837136,0.873438,0.15358446
58,0.48328923,0.99844471,0.99877472,0.9989018,0.9984425,0.89557059,0.20614076
62,0.52554678,0.54591969,0.52847026,0.9971795,0.69574295,0.65857184,0.18074813
66,0.99476985,0.99775132,0.71694381,0.59252429,0.79129804,0.81865746,0.15831652
70,-0.0069125,0.99802993,0.71243129,0.62333764,0.99896801,0.66517087,0.36821062
