,0,1,2,3,4,mean,std
2,0.096909598,0.081186685,0.090947947,0.084704689,0.105404076,0.091830599,0.008658939
6,0.042687685,0.058181728,0.044591194,0.05157451,0.041037526,0.047614529,0.006387777
10,0.037224718,0.038313859,0.039067026,0.036351664,0.033311359,0.036853725,0.001998437
14,0.039336411,0.032608645,0.033886851,0.035960977,0.027765989,0.033911775,0.00382349
18,0.026066389,0.030422885,0.026512914,0.025232567,0.029932905,0.027633532,0.002123392
22,0.033899977,0.028456517,0.025580855,0.036562904,0.025244242,0.029948899,0.004534245
26,0.030587967,0.033221749,0.026973652,0.026087499,0.02901704,0.029177582,0.002560319
30,0.032048586,0.032896008,0.037179849,0.044394372,0.029890976,0.035281958,0.005135138
34,0.04465533,0.05970091,0.04731552,0.04082364,0.04198658,0.0468964,0.00678437
38,0.07224349,0.04111064,0.05114259,0.04252585,0.04167627,0.04973977,0.01183138
42,0.07795098,0.07183709,0.05021134,0.07113299,0.0536304,0.06495256,0.01095489
46,0.06481435,0.07674289,0.13185108,0.08413736,0.05065914,0.08164096,0.02754737
50,0.09198224,0.11551138,1.4673208,0.11056585,0.0520345,0.36748295,0.55037219
54,0.07416457,1.34085038,1.35080508,0.0875944,0.1053639,0.59175567,0.61578486
58,1.56045968,0.10023505,0.08901985,0.08399815,0.1069289,0.38812833,0.58622138
62,1.56031141,1.49986613,1.53170757,0.13841525,1.28674813,1.2034097,0.54114752
66,0.18726652,0.12475472,1.33636549,1.44581658,1.08994454,0.83682957,0.56805832
70,2.51519501,0.1134265,1.34375102,1.46376083,0.08625273,1.10447722,0.91601572
