,0,1,2,3,4,mean,std
10,0.9999728311571847,0.9999639477447022,0.9999652033826412,0.9999569457493023,0.9999557848542043,0.9999629425776069,6.182241670819627e-06
20,0.999982055944682,0.9999769673905906,0.9999844574141685,0.9999827461007329,0.9999852943326231,0.9999823042365594,2.9091464722549013e-06
30,0.999988635684386,0.9999905515064998,0.9999820039360551,0.999979914347279,0.9999776085341942,0.9999837428016829,5.012159551509459e-06
40,0.9999838540210612,0.9999468316802353,0.9999901112758612,0.9999870553288049,0.9999712772672207,0.9999758259146369,1.5849148888666624e-05
50,0.9999900741455969,0.9999916118232093,0.9999916686643515,0.9999819903923058,0.9999913445562175,0.9999893379163363,3.7190801360742387e-06
60,0.9999888728119898,0.9999664906868165,0.9999919354732154,0.9999796626824545,0.9999842179914059,0.9999822359291765,8.906089988176106e-06
70,0.9999917669484657,0.9999828343315772,0.9999892997765734,0.9999750696658672,0.9999783621437204,0.9999834665732408,6.3227442409655795e-06
80,0.9999914133290272,0.9999872996630319,0.9999708333934255,0.9999852756073715,0.9999904783718648,0.9999850600729443,7.445568548162845e-06
90,0.9999393759317241,0.9999831037872875,0.9999810735377299,0.9999921930515807,0.999987370508963,0.999976623363457,1.9010983349506992e-05
