,0,1,2,3,4,mean,std
10,0.005921087467280972,0.006808520156366759,0.0050842227461998365,0.006847627161309722,0.006152863515124293,0.006162864209256316,0.000649275798903969
20,0.003452705846987363,0.00382534111019845,0.0033438009479522706,0.00376445539191847,0.004286523791761887,0.0037345654177636882,0.0003304340696792425
30,0.003955397209893768,0.00625906467071519,0.006898397525343995,0.004014150333097904,0.004048376992222753,0.005035077346254723,0.0012768465696342455
40,0.018179572451302316,0.01389604855901743,0.020848187763882378,0.009804377701572506,0.012970605546516398,0.015139758404458206,0.00391267071797296
50,0.016917283380279043,0.026501486391548312,0.024945233451019514,0.018904593985517956,0.02728497961942546,0.022910715365558058,0.004198507440450784
60,0.02810111882032305,0.029264641410744235,0.02846149552611872,0.02896181009043738,0.030292996552611234,0.02901641248004692,0.0007536526025429433
70,0.031416525497690286,0.03012275484677177,0.029661848481238637,0.02964656582251227,0.030702619506911492,0.030310062831024893,0.0006743670782365367
80,0.029134923088373916,0.029278616425518544,0.029732071067811162,0.030920286669105047,0.03169588275289412,0.030152356000740555,0.0009947283395331536
90,0.032062570929264206,0.028633942484316353,0.03260200593151628,0.03654030261816725,0.02913876037480709,0.031795516467614235,0.0028386138146597457
