,0,1,2,3,4,mean,std
2,0.997505517,0.997468631,0.99787907,0.99776683,0.997718796,0.997667769,0.000156874
6,0.998183614,0.998069753,0.998164774,0.997991757,0.998110226,0.998104025,6.91E-05
10,0.99809223,0.997318894,0.997900675,0.998060963,0.998093273,0.997893207,0.000295861
14,0.998069856,0.997748597,0.997828967,0.997962681,0.997682168,0.997858454,0.000141116
18,0.66692084,0.669073032,0.996224637,0.997429406,0.997401782,0.865409939,0.161189066
22,0.574929095,0.667829185,0.509473493,0.370694785,0.993987798,0.623382871,0.209044431
26,0.521634963,0.597851743,0.679660033,0.520358988,0.672162758,0.598333697,0.069321983
30,0.99531498,0.384710381,0.17793008,0.55980795,0.665976253,0.556747929,0.274729369
34,0.99368141,0.28454841,0.64962206,0.68076923,0.2293982,0.56760386,0.28127528
38,0.77038853,0.505026,0.66719557,0.51337007,0.48625096,0.58844623,0.11166351
42,0.17586384,0.51183569,0.9080735,0.58066147,0.68178057,0.57164301,0.23900425
46,0.59398253,0.66530795,0.49636852,0.35367026,0.49998596,0.52186304,0.10506669
50,0.48639415,0.968052,0.58769611,0.40971071,0.49793647,0.58995789,0.19730317
54,0.27672295,0.76217552,0.10545185,0.49122226,0.55246255,0.43760703,0.2269898
58,0.66555597,0.40236659,0.61316609,0.02940228,0.32615671,0.40732953,0.22737293
62,0.11467518,0.26946948,0.45705509,0.44914023,0.44187129,0.34644226,0.13529934
66,0.60696544,0.46950927,0.20087401,0.37703441,0.42873467,0.41662356,0.1321278
70,0.1499761,0.19343464,0.04076457,-0.1335484,0.0291617,0.05595772,0.11366688
