,0,1,2,3,4,mean,std
2,0.999533626,0.999561624,0.999525448,0.999113068,0.999275319,0.999401817,0.000177524
6,0.999879994,0.999833625,0.999835783,0.999892782,0.999690229,0.999826483,7.21E-05
10,0.999846581,0.999865822,0.999782693,0.999860377,0.999891784,0.999849451,3.65E-05
14,0.999745829,0.999610433,0.999835633,0.999773845,0.999598537,0.999712855,9.32E-05
18,0.999628695,0.999741226,0.777044136,0.999737594,0.999779138,0.955186158,0.089071025
22,0.999233943,0.66588856,0.999618547,0.999801206,0.999606261,0.932829703,0.133470699
26,0.776241113,0.999605789,0.999344545,0.776941353,0.999595429,0.910345646,0.109210285
30,0.999172084,0.99903801,0.776289787,0.999434954,0.672694608,0.889325889,0.138515858
34,0.99901239,0.6810358,0.99491074,0.99904591,0.28917635,0.79263624,0.28001342
38,0.99656707,0.6674734,0.99918483,0.99882363,0.99793473,0.93199673,0.13226475
42,0.99714327,0.67518407,0.77526088,0.99857247,0.99861493,0.88895512,0.13738294
46,0.9981805,0.99716354,0.99711132,0.99849126,0.99631335,0.99745199,0.00078823
50,0.99731456,0.99819893,0.99738746,0.99044776,0.99708398,0.99608654,0.00284441
54,0.6571491,0.99770465,0.99881305,0.43560812,0.99442335,0.81673965,0.23160351
58,0.99850736,0.35093441,0.68291443,0.44223356,0.9973953,0.69439702,0.27054607
62,0.50360852,0.68046527,0.57318847,0.77135026,0.99806375,0.70533525,0.17252415
66,0.68520336,0.99851763,0.64849351,0.64721221,0.66255944,0.72839723,0.13575048
70,0.99201171,0.18057733,0.99762785,0.51029617,0.49159724,0.63442206,0.31672386
