,0,1,2,3,4,mean,std
2,0.996377349,0.996865823,0.996521863,0.996466351,0.996302985,0.996506874,0.000194452
6,0.997594399,0.997525532,0.997506018,0.997379533,0.997579107,0.997516918,7.61E-05
10,0.997440098,0.997441298,0.997644076,0.997365271,0.997445125,0.997467173,9.33E-05
14,0.997389508,0.997410299,0.997431375,0.997025163,0.997586028,0.997368474,0.000185116
18,0.997279665,0.996796294,0.997555471,0.997724967,0.996590262,0.997189332,0.000434163
22,0.669125359,0.996756312,0.997470911,0.995852724,0.997011438,0.931243349,0.131060056
26,0.996343222,0.846735352,0.670257473,0.984931879,0.470189435,0.793691472,0.200171825
30,0.790094103,0.991493606,0.444116445,0.792006186,0.789153597,0.761372788,0.176715744
34,0.3476409,0.47543832,0.68798596,0.9843769,0.69955029,0.63899847,0.21771252
38,0.61840794,0.29027724,0.15173117,0.54994493,0.67311907,0.45669607,0.20118838
42,0.58302081,0.17789001,0.51137389,0.48847705,0.19718195,0.39158874,0.16961321
46,0.54775466,0.20558883,0.98523066,0.56922542,0.50422343,0.5624046,0.24889579
50,0.06334728,0.18099579,0.4490911,0.32240582,0.43711693,0.29059138,0.14916778
54,0.4255545,0.46350508,0.59297399,0.43943374,0.62214743,0.50872295,0.08212916
58,0.68323068,0.58110404,0.33550856,0.11868407,0.61862805,0.46743108,0.21041842
62,0.54208548,0.17071403,0.47046529,0.35243239,0.25806935,0.35875331,0.13537078
66,0.29389976,0.28718709,0.54330923,0.52083302,0.36293396,0.40163261,0.1099843
70,0.05082254,0.2124388,0.51364893,0.19610316,0.47786276,0.29017524,0.17739747
