,0,1,2,3,4,mean,std
2,0.999388833,0.999112468,0.999446908,0.99924012,0.999103545,0.999258375,0.000140113
6,0.999822478,0.999814257,0.999846845,0.999835746,0.999843375,0.99983254,1.24E-05
10,0.99989852,0.999858807,0.999894237,0.99988288,0.999868509,0.999880591,1.51E-05
14,0.999902505,0.999907324,0.999789785,0.999931534,0.999917547,0.999889739,5.10E-05
18,0.99989962,0.999876949,0.999862287,0.999858438,0.999908254,0.99988111,1.98E-05
22,0.999925393,0.999896109,0.999879167,0.999905663,0.999803864,0.999882039,4.18E-05
26,0.999827893,0.999740584,0.999851688,0.99982312,0.999859554,0.999820568,4.23E-05
30,0.999709704,0.999703573,0.999788996,0.99950056,0.999761556,0.999692878,0.00010133
34,0.99971678,0.99920047,0.99932265,0.99962424,0.99933908,0.99944064,0.0001959
38,0.99961811,0.99920196,0.99934665,0.99947816,0.79646361,0.9588217,0.08117916
42,0.99959972,0.99960209,0.99943706,0.99880771,0.99421863,0.99833304,0.00207786
46,0.9988939,0.99955195,0.99818164,0.99829091,0.9992222,0.99882812,0.00052727
50,0.99891001,0.98732736,0.68775848,0.99806838,0.56270441,0.84695373,0.18534935
54,0.69704346,0.99584614,0.99897078,0.99952056,0.99918638,0.93811347,0.12054224
58,0.99939008,0.67156559,0.99514922,0.51915811,0.99691678,0.83643596,0.20265513
62,0.99883889,0.68419203,0.69024541,0.99742744,0.6813573,0.81041221,0.15330106
66,0.60423386,0.68718368,0.93825246,0.47387191,0.63768578,0.66824554,0.15236462
70,0.99234252,0.66390756,0.67689856,0.99728099,-0.0737349,0.65133895,0.39051317
