,0,1,2,3,4,5,6,7,8,9,mean,std
2,0.9963773490221892,0.9968658233626853,0.9965218624167848,0.9964663504198247,0.9963029847490577,0.9970628314028748,0.9967062935568862,0.9966149612981405,0.9959933259888232,0.9969517364634342,0.9965863518680701,0.000307906725846136
6,0.997594398352497,0.9975255323147199,0.9975060180794917,0.9973795322953739,0.9975791068817957,0.9975668379333669,0.9975322862872269,0.9974975913460019,0.9976472922814927,0.9975149317176679,0.9975343527489635,6.782470493508713e-05
10,0.997440097543138,0.9974412980381937,0.9976440762672135,0.9973652713449309,0.9974451243653196,0.9975875256054159,0.9974042671459914,0.997566434735845,0.997453512909773,0.9975620232493292,0.9974909631205151,8.682494306603466e-05
14,0.9973895073588782,0.9974102993043749,0.9974313751836669,0.997025163970179,0.9975860284942168,0.9969586597601715,0.9973589295769678,0.9971579060299723,0.9968852012887394,0.9975084126988726,0.9972711483666039,0.00023283691559088576
18,0.9972796650999521,0.9967962933744386,0.9975554707927606,0.997724966923643,0.9965902622512287,0.9974781626730304,0.9970365898737645,0.9972296760463452,0.9970449128163782,0.9973436794214952,0.9972079679273038,0.0003304654879339722
22,0.6691253554052023,0.9967563108126523,0.9974709116468063,0.9958527245704957,0.9970114374104646,0.9961716103447734,0.995909008985214,0.9961478493868735,0.9949157000771357,0.995102302003419,0.9634463210643036,0.0981098540393517
26,0.996343222401356,0.846735353459501,0.67025747155871,0.9849318762817748,0.4701894366492117,0.6698240042506288,0.6693746893963168,0.9941797331784119,0.9919016045575245,0.9924371037105157,0.8286174495443952,0.18382763542079475
30,0.790094108234518,0.9914936065535223,0.4441164486666799,0.7920061861195608,0.7891535982328358,0.9879479596452474,0.9966478306710477,0.9925901730312844,0.989910858201518,0.9912891582699432,0.8765249927626158,0.16993683714714347
34,0.34764088978350044,0.4754383222597601,0.6879859553376259,0.9843768913721508,0.6995502905177465,0.9894447248945599,0.010435252445016968,0.667735390361607,0.22054544318868907,0.9928858105816101,0.6076038970742268,0.3234512037571942
38,0.6184079380456243,0.29027723869838956,0.15173116947951013,0.5499449305875818,0.6731190764587193,0.4061446346529187,0.19726010326371715,0.30325022450393974,0.04983504122073943,0.6388850196296142,0.3878855376540754,0.21146435311768041
42,0.583020801587482,0.1778900148763142,0.5113738874737856,0.48847705224189103,0.19718194864134653,0.3946444808255836,0.6870948637237743,0.4282353188588618,0.67614753663597,0.7792022231545039,0.49232681280195134,0.19033016388732402
46,0.5477546691754752,0.20558883049290666,0.9852306588933618,0.5692254273807825,0.5042234252685681,0.7613863619733378,0.433859534376542,0.47391585033484074,0.5655978957083835,0.965193536281795,0.6011976189885992,0.22823092212015056
50,0.06334728956607942,0.18099578555733134,0.4490910967975536,0.322405826035336,0.4371169255711036,0.45247006366570997,-0.017952075112482167,0.1953110849019104,0.5004415302840659,0.43719736400453524,0.30204248912711434,0.17491608083151586
54,0.4255545078671971,0.46350507523082973,0.5929739877478671,0.43943374184446016,0.6221474269680684,0.5256899886433346,0.05460139241310698,0.5566926996522659,0.19433044611603514,0.37858960471775704,0.42535188712009225,0.16994450529864863
58,0.6832306766435786,0.5811040341783074,0.3355085627833325,0.11868406721598142,0.6186280456913847,0.05136119570763253,0.24950509338023757,0.039478579574121174,0.4324404054603045,0.41722956157782304,0.3527170222212703,0.22299779695056082
62,0.5420854888681544,0.17071402563252647,0.4704652877527466,0.35243238869710686,0.2580693493930661,0.40837626496644835,0.39194479319846837,0.4102471737673252,-0.08113915677162536,0.9413572712728677,0.3864552886777085,0.24961985742842804
66,0.2938997633711048,0.2871870891542546,0.5433092302975332,0.5208330149405521,0.3629339644277726,0.28828778901562463,0.36056155573960863,0.3655115902896573,0.5770633396625925,0.563025297136804,0.4162612634035504,0.11445737342111158
70,0.050822540327807905,0.2124388038028366,0.5136489364354878,0.19610316088296803,0.477862760285886,0.31649068988362755,0.47536654871233924,0.521198731733144,0.4950603834505901,0.12538206601718743,0.33843746215318743,0.17074887744175998
