,0,1,2,3,4,5,6,7,8,9,mean,std
2,0.0160426144268958,0.011576703363324316,0.00549058080233173,0.007383333607533406,0.006772456523796575,0.006265630311278618,0.008933945777835992,0.012372566409259293,0.01067869025234341,0.007634304420665428,0.009315082589526458,0.003141259323783784
4,0.002856833668845959,0.0036365423380413826,0.00328406652839587,0.0033284696912639603,0.003899298434216463,0.004398375203819451,0.003631266441117664,0.004252805653843554,0.0034440108977305045,0.00362485508455143,0.0036356523941826237,0.000435146984276168
8,0.002685524990909955,0.0019397308138394578,0.0019777163450462754,0.002182903146687083,0.002073811890261897,0.002323025521869116,0.0020077959705765056,0.0026271515951575885,0.0026300358081936923,0.0024846831061794963,0.002293237918872107,0.00027976394622522565
12,0.0012394008219839213,0.0019056519061955001,0.0019374884626559231,0.0021367231643321305,0.0019434009043620463,0.001502506761530626,0.0015083987825182117,0.0015895365334923322,0.0016060899433504076,0.0022349980686199745,0.0017604195349041074,0.00030120919891586916
16,0.00142816182097796,0.0015160459736978616,0.0016596119194691695,0.0017625390170624622,0.001557473527275494,0.0017662244545567924,0.0020571953078591994,0.0017061829576914347,0.0014089387117818364,0.0017072951495487438,0.0016569668839920954,0.00018216887708239968
20,0.0016071344011847895,0.0014237317094951253,0.0017705101091444009,0.0019527255460005848,0.0012502738403404787,0.0034370458411375816,0.0022357663595413794,0.002184805940667501,0.002007786215263588,0.0015866546781577067,0.0019456434640933138,0.000583063181110334
24,0.0023023225575030544,0.0026215209745267397,0.00206084856172137,0.0021752431096839974,0.0016781523632653356,0.0024074554932978377,0.0030075137027531147,0.0015537274586648949,0.0013533738300003585,0.0011074244865347815,0.0020267582537951486,0.0005660039997815243
28,0.0018166256943655417,0.0018533645383035752,0.001482492942255927,0.004850591089146498,0.0017963794266546672,0.0021700182972130082,0.0018884750368057192,0.0014672487731728157,0.0015443480863512658,0.002042536026005696,0.0020912079910274718,0.0009456045398027482
32,0.0013830565930935152,0.0021521175305819333,0.0019001416530198122,0.001360019186556671,0.0019999309523716442,0.002202267563212525,0.0017590263913893403,0.0014635152039372335,0.001226428589944409,0.002176919274496523,0.0017623422938603604,0.0003570719441639186
36,0.0031644757672144442,0.0021580722469494553,0.001992889196366451,0.0027156814225325504,0.0029355658494631368,0.00153678096435286,0.0027067923899840667,0.0015272259383758739,0.003876207318958781,0.0015208529480155231,0.002413454404221314,0.0007580539292664639
40,0.004532014679258181,0.0015775816357311617,0.0015298629975406025,0.0020265219024095255,0.0035734309031351854,0.0015562150895937312,0.004745933282167289,0.0017664166606652825,0.0017768739110881066,0.001758897706361745,0.002484374876795081,0.0012182090870561393
44,0.002029108030063361,0.001761640252387851,0.0024561708126187094,0.0030412398629828044,0.002974719638757177,0.0015125969787003655,0.0014375395873395774,0.0021594711135914523,0.0023566348773445887,0.001705937062477081,0.0021435058216262965,0.0005373164783471225
48,0.001985980910953876,0.0025333701358955883,0.003025246677853263,0.002831739808682498,0.0017996652774229047,0.002986914948802247,0.004017669171750055,0.001682091948740705,0.0027409197828645146,0.0018313068896268806,0.0025434905552592533,0.0006955135716153909
52,0.0030143085567780653,0.002037969785041054,0.002134605312273848,0.0023516483609042965,0.0020653815966177416,0.0033139831205777005,0.0016603067532183155,0.004545390804031862,0.005113902543775693,0.004374488222535348,0.0030611985055753925,0.0011649219563122704
56,0.004200122603930648,0.0017922782350199816,0.002499479467573796,0.003548482556482515,0.0035417185716198766,0.0033379966715298796,0.0020606992736350387,0.0017181196408536353,0.0021988813839850033,0.003100058355645364,0.0027997836760275735,0.0008145170877486593
60,0.0024647009287860357,0.002553071881704737,0.002699341082891976,0.0035766831865911117,0.0030779434004495508,0.0037225716794874186,0.004356044501109619,0.002525007175999553,0.0016642737833690473,0.003126415317944098,0.0029766052938333147,0.0007277761492279943
