,0,1,2,3,4,mean,std
10,0.999950832,0.999956505,0.99996315,0.999943461,0.999954059,0.999953601,6.49E-06
20,0.999979549,0.999984003,0.99998197,0.999975248,0.999985767,0.999981308,3.67E-06
30,0.99998496,0.999989116,0.999986703,0.99997374,0.999986256,0.999984155,5.38E-06
40,0.99999223,0.999990487,0.999989071,0.999979717,0.999984294,0.99998716,4.56E-06
50,0.999981516,0.99999201,0.999991604,0.999988626,0.999977916,0.999986335,5.64E-06
60,0.999963355,0.999991671,0.999991146,0.999982866,0.999972567,0.999980321,1.10E-05
70,0.999973846,0.999988488,0.99999426,0.999986533,0.999983821,0.99998539,6.71E-06
80,0.99998919,0.999993367,0.999979463,0.999986415,0.99998561,0.999986809,4.57E-06
90,0.999986065,0.999986402,0.999980822,0.999984588,0.999959225,0.999979421,1.03E-05
