,0,1,2,3,4,5,6,7,8,9,mean,std
2,0.01226471470254811,0.012615058280874534,0.012424738916280802,0.015509985051034915,0.017170135549696715,0.01180112859390898,0.01580357696271688,0.014926052403484547,0.015297552055270594,0.019487433827890026,0.01473003763437061,0.002348447585517047
4,0.004465720777844924,0.005261757775475173,0.011460135214936938,0.008429180307021212,0.0075968918093229235,0.0060010837739016,0.005425661135557852,0.008121922684278403,0.008268816095283854,0.009854637036845318,0.0074885806610468205,0.002093860616018831
8,0.003092048700861549,0.003712646295364253,0.00333488657414207,0.0038507625937205287,0.002536094643629711,0.004193028827184855,0.003713946981052865,0.004498409935288596,0.0037660710271364734,0.0034475716130468784,0.0036145467191427785,0.0005250019780403088
12,0.0027654561028539293,0.0027815044949903744,0.003620931111308739,0.0025765236352745294,0.0028794567269666382,0.003281728326147109,0.0023986508426467735,0.0031827017404516987,0.003589458135429733,0.002688505220670051,0.002976491633673958,0.00039943767040825825
16,0.0027051086386681374,0.0026020291707078355,0.0029571522853800406,0.0027730639706891806,0.0025094753564323326,0.0024650379943162094,0.0025079663525712495,0.0024494882248512514,0.003240963436241401,0.0025661808351623502,0.002677646626501999,0.00024037099525219872
20,0.0024325633558354475,0.0027929880249188267,0.002518548399765075,0.002517012622869084,0.002247076175952583,0.003274886591835553,0.00309076722011448,0.0028521076726102045,0.0020168783875916733,0.002173015608184919,0.0025915844059677846,0.00038534099436016085
24,0.001952488374628736,0.0026861313086894447,0.002887066359589557,0.002958612323131881,0.002310163483589245,0.0019480315341421802,0.0022225762427375987,0.002261851961997585,0.002296634915868813,0.0024792434235601677,0.002400279992793521,0.00033336052368935945
28,0.002577286498902256,0.0018190602843287315,0.002247057274671406,0.002194662415356716,0.0033566157011342625,0.0026430477650731064,0.0021869190522308397,0.002186417277489059,0.0025102742527910358,0.003523100983422548,0.002524444150539996,0.0005116967955746284
32,0.002300943256078859,0.0025334078541588497,0.00256689340455702,0.002692173522872744,0.0019950536767103367,0.0034639598060452045,0.002098889330346875,0.002270618028777314,0.002521555219432021,0.002162614867097458,0.0024606108966076685,0.00039731833060160807
36,0.003332893976087669,0.0035826995086726946,0.002607531085984977,0.008538549331476188,0.002607329293357068,0.0023941375292321544,0.003518574953949884,0.005007233165050868,0.0030289156329930808,0.0025270126058037946,0.003714487708260837,0.0017668816762254514
40,0.003992097489879007,0.003132832597181085,0.002692168450572207,0.002721193847157001,0.0022708992483939446,0.0028094563705444624,0.0037476869435269736,0.003237233014628864,0.003507098259676432,0.0026483775805918866,0.003075904380215186,0.0005177622362525394
44,0.002836907163385979,0.0023608391582872735,0.002284536132484768,0.0026235742575007174,0.0026959975103867492,0.0028485761982056453,0.003717896928639785,0.002833807028886035,0.0024982275612121527,0.003990732182405022,0.0028691094121394128,0.0005300052738590412
48,0.002282022523576737,0.00291095206300532,0.003610942330998453,0.0033091344111605653,0.0031913020453135325,0.0030586361932968347,0.004523066966405773,0.0035532325986180175,0.0029254305142728293,0.002698353920413385,0.003206307356706145,0.0005769743050569909
52,0.003770241094134368,0.0024602376036231095,0.0040087101183874626,0.0032648137385808853,0.0026012983526162124,0.00317759836722014,0.0030450889446300496,0.003362195823481342,0.003265555809971569,0.003585883740585546,0.003254162359323068,0.00045428568264702476
56,0.002998329865023246,0.0027927247315379542,0.0032890834223934192,0.0031880240172482035,0.004629988297789365,0.0029064901980255355,0.0026139173462680983,0.003608976757410965,0.005074209953821797,0.002893215126920757,0.0033994959716439335,0.0007787930502425774
60,0.003446875478780634,0.0028852247306353565,0.004374741758676821,0.0030060311457068625,0.003077810575314092,0.005061457110409673,0.007415431038977288,0.00519371668064571,0.0020663754178009666,0.003073541373838922,0.003960120531078633,0.0014941772058401706
