,0,1,2,3,4,mean,std
10,0.9972449519838928,0.9968553090156463,0.9978705674010356,0.9972349571803237,0.9969635426588349,0.9972338656479467,0.0003526734645461964
20,0.9993129538273572,0.9994786877492979,0.9994018400919752,0.9994801697978826,0.9996028816239173,0.999455306618086,9.59856487138521e-05
30,0.9997574151122434,0.9996810596131507,0.9997553955028705,0.9996108835706893,0.9996854502023576,0.9996980408002623,5.451263591620675e-05
40,0.9998081071644558,0.9997384794367834,0.9997838048275929,0.9996648781393462,0.999598177109049,0.9997186893354455,7.751911391412401e-05
50,0.9996435602419882,0.9996785147747029,0.999390190315962,0.999527970790655,0.9998981584245697,0.9996276789095756,0.00016872356741674398
60,0.9993326477444181,0.9989792307136075,0.999458031303162,0.998997372945336,0.999119041137662,0.9991772647688372,0.0001886490192488068
70,0.998791826941763,0.9982685927684839,0.9996494993505407,0.999593545109947,0.9992461784982954,0.9991099285338059,0.0005201192564564178
80,0.9983929699573311,0.9976771744933562,0.9988953544391006,0.9994661006128804,0.9991772179779299,0.9987217634961197,0.0006310121583166517
90,0.9974945807031653,0.9974828793214365,0.9986437509119336,0.998412760908697,0.9990366500294361,0.9982141243749337,0.0006249874094732779
