,0,1,2,3,4,mean,std
10,0.9994952747385543,0.9996257252900257,0.9997388334118303,0.9997681918023436,0.9995638394254638,0.9996383729336434,0.000103089811830798
20,0.9999377351163662,0.9999424760002442,0.9999426796208115,0.9999596775466373,0.9999437368488664,0.9999452610265852,7.499580258169058e-06
30,0.9999629594888438,0.9999634549003888,0.9999698244930681,0.9999621732257172,0.9999640871329338,0.9999644998481904,2.7349578393202633e-06
40,0.9999806458816152,0.999967490941824,0.9999623911539847,0.9999591203750786,0.9999790119654042,0.9999697320635814,8.680409152034205e-06
50,0.9999736458197895,0.9999661793278076,0.999962747284057,0.9999696833255144,0.9999534294534059,0.999965137042115,6.883791494284772e-06
60,0.9999732743806229,0.9999737041067681,0.9999724609086366,0.9999621145361802,0.9999831226784112,0.9999729353221237,6.660370788692786e-06
70,0.9999788922169833,0.9999760329823966,0.999974501143962,0.9999637094086851,0.9999557425149862,0.9999697756534026,8.698556862770541e-06
80,0.9999771622413778,0.9998967555187832,0.9999797328047978,0.9999767679017914,0.9999713488752676,0.9999603534684034,3.1915906126697894e-05
90,0.9999734246657143,0.9999715340737411,0.9999805317540115,0.9999429780775136,0.9999708555365132,0.9999678648214987,1.290829858252602e-05
