,0,1,2,3,4,mean,std
2,0.998538594606413,0.9982661073373383,0.9946623018650911,0.994057892695667,0.9951258764875107,0.9961301545984039,0.0018878725030779123
4,0.9995513317242993,0.9993634083730809,0.9992105985095778,0.9994765879405099,0.9995447523902582,0.9994293357875452,0.00012855285875984574
8,0.9997921253946079,0.9998373386323822,0.9997766552619279,0.9997093903763559,0.999746843293307,0.9997724705917163,4.300594711200663e-05
12,0.9999012861561685,0.9998710535388757,0.9998555779195397,0.999907288416732,0.9999217243099479,0.9998913860682528,2.435955911821271e-05
16,0.9999222653240658,0.9999267881098681,0.9999189847629649,0.99991098315694,0.999941464650355,0.9999240972008389,1.010287320525866e-05
20,0.9999350613505007,0.9999135047294054,0.999934660585166,0.9999299127496108,0.9999505849978985,0.9999327448825163,1.1878637345566035e-05
24,0.9999478100265853,0.9999186978723359,0.9999281016872414,0.9998888071003427,0.9999351336490109,0.9999237100671031,1.9869231405115592e-05
28,0.9998968834464455,0.9999312018362317,0.9998890054913233,0.9999295731686111,0.9999291433675811,0.9999151614620386,1.8323237875818466e-05
32,0.999953952678279,0.9999216760143307,0.9998907330901505,0.9999337446635919,0.9999127733858314,0.9999225759664366,2.107181583382308e-05
36,0.9999017886962202,0.9999243597399985,0.9999761136885111,0.9996835494354052,0.9998947397965149,0.9998761102713299,0.00010041395413011324
40,0.9999540983894568,0.9997591313448404,0.9999175493002233,0.9999018523975903,0.9999209807295181,0.9998907224323258,6.795858704360275e-05
44,0.9999384697164269,0.9999143613799241,0.9998964866876323,0.9999238674027531,0.9999301138507746,0.9999206598075023,1.4428238780910551e-05
48,0.9999489509817603,0.9999047904581376,0.999929864590031,0.9998844759399077,0.9999109371298076,0.9999158038199288,2.2012971042747376e-05
52,0.9999358789025392,0.9998419529001588,0.9998582451084723,0.999797330831577,0.9997457193014334,0.9998358254088362,6.3485169533539e-05
56,0.9980760705144437,0.9998360021357201,0.999912179582694,0.9998870955237802,0.9998523896657247,0.9995127474844725,0.0007188287073668102
60,0.999894639873382,0.9998524186736925,0.9998714298744527,0.9999665811625041,0.9998351574610916,0.9998840454090245,4.576860677551256e-05
