,0,1,2,3,4,mean,std
2,0.020134333873730762,0.018893241689585803,0.01818050336124647,0.024044691545460826,0.02577545393113915,0.021405644880232604,0.002979588485940637
4,0.010297010074775336,0.010148058578170431,0.012480501202856502,0.01783725348984431,0.010964731049365984,0.012345510879002512,0.002867373864306932
8,0.0064270667980554546,0.0053658323782638535,0.00572283557684679,0.006104950754004173,0.006193846515139061,0.005962906404461866,0.00037498965264912035
12,0.005050947880043739,0.005144889341334375,0.004681341024796074,0.004972255695950312,0.006317337602171967,0.005233354308859294,0.000563739139563446
16,0.004067221900069956,0.004965838773868481,0.004779658509868086,0.00501979651034079,0.004072876829614172,0.004581078504752297,0.00042479772229581206
20,0.004050729954381212,0.003189910200435258,0.003836251543486278,0.0038070584469709922,0.0032150538366088914,0.0036198007963765258,0.0003510676056741888
24,0.0030612535622693018,0.0037271743633414504,0.003706081797700746,0.00340009673582441,0.0037450525647908387,0.0035279318047853497,0.0002655962456192533
28,0.00304675012857753,0.0032574794489186503,0.0030040970505929372,0.0030632609439447235,0.003007579462696704,0.003075833406946109,9.359903225921281e-05
32,0.004117139804594077,0.003589038877214586,0.0034059975109719583,0.00390845792989515,0.0036416506639940817,0.0037324569573339702,0.0002507379245558498
36,0.004001384621478357,0.0035931171393439472,0.0038355657337594525,0.0034789646716237538,0.0030950178412157314,0.0036008100014842483,0.000311865821771257
40,0.003429890624542561,0.004316327043269051,0.004549268924438422,0.004533047038117941,0.0053094220646545355,0.004427591139004502,0.0006018867380356825
44,0.005825394877895413,0.004452647440363828,0.0038267373394657877,0.003983755327966164,0.0035951693221570997,0.004336740861569658,0.0007955068626842861
48,0.0073788324174570655,0.003980288578225148,0.002718847212636425,0.006581096787442704,0.0031864576908103817,0.004769104537314345,0.0018667914869303246
52,0.004542270664399108,0.003991221140609035,0.004480050553266672,0.0037618768349215645,0.005227156424006759,0.004400515123440628,0.0005069786555144931
56,0.0049121039064353705,0.005284046184807322,0.003884116858646385,0.006466723984473487,0.005108579312944585,0.00513111404946143,0.0008259197766760592
60,0.004144364331346839,0.003512293758157355,0.005078935655283433,0.004847439092119974,0.0058257269703720456,0.004681751961455929,0.0007937636785834139
